instrumentKey,market,symbol,name,industry,tradeDate,open,high,low,close,previousClose,volume,amount,turnoverRatePct,totalMarketCap,floatMarketCap,peTtm,pb,psTtm,volumeRatio,year
943,SZ,000920,沃顿科技,环保行业,2000-01-04,14.05,14.33,13.93,14.25,14.01,1290147,18324429.45,1.843067,2707500000,997500000,53.688534,4.647272,9.940667,1.59,2000
944,SZ,000921,海信家电,家电行业,2000-01-04,17.58,18.17,17.51,18.11,17.5,1719417,30891037.58,1.563106,17965238855.93,1992100000,30.413225,3.73099,4.711342,5.15,2000
945,SZ,000922,佳电股份,电机,2000-01-04,14.45,14.95,14.27,14.83,14.43,297787,4385587.43,0.541431,2603406500,815650000,-323.057097,4.391719,11.218012,1.65,2000
946,SZ,000923,河钢资源,钢铁行业,2000-01-04,8.3,8.5,8.15,8.47,8.29,456873,3818313.92,0.830678,1397550000,465850000,53.370468,3.472469,3.625264,1.16,2000
947,SZ,000925,众合科技,交运设备,2000-01-04,31,32.18,30.5,32.1,30.75,470592,14952259.69,1.56864,2889000000,963000000,103.152188,8.555563,29.259131,2.88,2000
948,SZ,000926,福星股份,房地产开发,2000-01-04,14.2,14.9,14.18,14.68,14.11,2397693,35149287.5,4.359442,3011602000,807400000,52.859938,5.607636,7.83409,3.13,2000
949,SZ,000927,中国铁物,物流行业,2000-01-04,5.79,5.92,5.76,5.88,5.79,1492314,8733547.46,0.684548,8526930216,1281840000,21.206891,4.485553,1.498905,1,2000
950,SZ,000928,中钢国际,工程咨询服务,2000-01-04,7.1,7.25,7.06,7.23,7.05,312832,2248247.9,0.347591,2045359770,650700000,24.053031,2.072322,2.793799,1.19,2000
951,SZ,000929,兰州黄河,酿酒行业,2000-01-04,15.5,16.25,15.21,16.06,15.75,1007473,15777626.81,2.238829,1577092000,722700000,50.112039,3.115082,4.172452,3.97,2000
952,SZ,000930,中粮科技,农牧饲渔,2000-01-04,18.88,19.45,18.65,19.37,18.68,720836,13885540.16,1.201393,2846979356,1162200000,78.065213,5.229336,8.236763,2.3,2000
953,SZ,000931,中 关 村,化学制药,2000-01-04,18.78,19.69,18.68,19.5,18.59,4113854,79719838.06,1.097476,13159515330,7309515330,155.086042,23.504698,6.267803,2.61,2000
954,SZ,000932,华菱钢铁,钢铁行业,2000-01-04,5.51,5.6,5.44,5.59,5.51,897430,4974131.94,0.448715,7000357000,1118000000,22.718244,3.307657,1.546524,1.53,2000
955,SZ,000933,神火股份,有色金属,2000-01-04,10.65,10.95,10.53,10.91,10.65,997900,10806219.47,1.425571,2494898800,763700000,39.407965,11.107854,6.04215,2.65,2000
956,SZ,000935,四川双马,水泥建材,2000-01-04,7.88,8,7.7,7.95,7.82,377010,2973937.3,0.650017,1410727500,461100000,43.177369,6.846618,4.651717,1.75,2000
957,SZ,000936,华西股份,化纤行业,2000-01-04,20.47,20.95,20.27,20.81,20.23,274256,5681945.93,0.783589,2913400000,728350000,66.445861,22.574139,11.929386,2.59,2000
958,SZ,000937,冀中能源,煤炭行业,2000-01-04,10.47,10.85,10.39,10.85,10.47,847480,9079126.4,0.84748,4611250000,1085000000,31.678202,8.13802,5.299789,1.18,2000
