strategy,tradeDate,count,grossReturn,grossTradedNotional,oneWayTurnover,cost,netReturn
仅规模,2015-04-21,100,0.04376233971699283,0.12,0.06,0.00017999999999999998,0.04358233971699283
仅规模,2015-04-28,100,-0.048582876214252224,0.28,0.14,0.00042000000000000007,-0.04900287621425222
仅规模,2015-05-06,100,0.04487257750395583,0.22,0.11,0.00033,0.044542577503955835
仅规模,2015-05-13,100,0.011831135813665265,0.06,0.03,8.999999999999999e-05,0.011741135813665265
仅规模,2015-05-20,100,0.12231115703838503,0.06,0.03,8.999999999999999e-05,0.12222115703838503
仅规模,2015-05-27,100,0.0017542142768800072,0.1,0.05,0.00015000000000000001,0.0016042142768800073
仅规模,2015-06-03,100,0.03601400603502213,0.04,0.02,6e-05,0.035954006035022135
仅规模,2015-06-10,100,-0.028209026351459218,0.08,0.04,0.00012,-0.028329026351459216
仅规模,2015-06-17,100,-0.08039196262943595,0.1,0.05,0.00015000000000000001,-0.08054196262943594
仅规模,2015-06-25,100,-0.16157695212433637,0.08,0.04,0.00012,-0.16169695212433638
仅规模,2015-07-02,100,-0.09237973303287816,0.08,0.04,0.00012,-0.09249973303287816
仅规模,2015-07-09,100,0.07245594063898846,0.36,0.18,0.00054,0.07191594063898846
仅规模,2015-07-16,100,0.11669005525891273,0.32,0.16,0.00048,0.11621005525891273
仅规模,2015-07-23,100,-0.11077258936398277,0.16,0.08,0.00024,-0.11101258936398277
仅规模,2015-07-30,100,0.008717835441579827,0.12,0.06,0.00017999999999999998,0.008537835441579827
仅规模,2015-08-06,100,0.10173592445483363,0.06,0.03,8.999999999999999e-05,0.10164592445483363
仅规模,2015-08-13,100,-0.0944002463577764,0.14,0.07,0.00021000000000000004,-0.0946102463577764
仅规模,2015-08-20,100,-0.18696449853302,0.22,0.11,0.00033,-0.18729449853302
仅规模,2015-08-27,100,0.017366967016199254,0.22,0.11,0.00033,0.017036967016199254
仅规模,2015-09-07,100,-0.0014410611827858778,0.2,0.1,0.00030000000000000003,-0.001741061182785878
仅规模,2015-09-14,100,0.029227611784764625,0.06,0.03,8.999999999999999e-05,0.029137611784764626
仅规模,2015-09-21,100,-0.03541077167464033,0.06,0.03,8.999999999999999e-05,-0.03550077167464033
仅规模,2015-09-28,100,0.07216931915757673,0.04,0.02,6e-05,0.07210931915757672
仅规模,2015-10-12,100,0.027355592374283456,0.12,0.06,0.00017999999999999998,0.027175592374283457
仅规模,2015-10-19,100,0.011006874717240262,0.06,0.03,8.999999999999999e-05,0.010916874717240262
仅规模,2015-10-26,100,-0.044565514010954994,0.14,0.07,0.00021000000000000004,-0.044775514010954996
仅规模,2015-11-02,100,0.09535745788065614,0.14,0.07,0.00021000000000000004,0.09514745788065614
仅规模,2015-11-09,100,-0.009531267628625061,0.1,0.05,0.00015000000000000001,-0.009681267628625062
仅规模,2015-11-16,100,-0.0013716221470933764,0.04,0.02,6e-05,-0.0014316221470933763
仅规模,2015-11-23,100,-0.056684857932430124,0.06,0.03,8.999999999999999e-05,-0.056774857932430124
仅规模,2015-11-30,100,0.027627156199255074,0.08,0.04,0.00012,0.027507156199255076
仅规模,2015-12-07,100,-0.007777466051852105,0.04,0.02,6e-05,-0.007837466051852105
仅规模,2015-12-14,100,0.04264064025769663,0.06,0.03,8.999999999999999e-05,0.04255064025769663
仅规模,2015-12-21,100,-0.03582569619883219,0.1,0.05,0.00015000000000000001,-0.03597569619883219
仅规模,2015-12-28,100,-0.08240471719755002,0.04,0.02,6e-05,-0.08246471719755002
仅规模,2016-01-05,100,-0.07022341973919534,0.06,0.03,8.999999999999999e-05,-0.07031341973919535
仅规模,2016-01-12,100,-0.0053298804183607,0.04,0.02,6e-05,-0.0053898804183607
仅规模,2016-01-19,100,-0.09329701802500229,0.02,0.01,3e-05,-0.09332701802500229
仅规模,2016-01-26,100,0.0019018464208999009,0.06,0.03,8.999999999999999e-05,0.0018118464208999009
仅规模,2016-02-02,100,0.03483641193010177,0.04,0.02,6e-05,0.034776411930101774
仅规模,2016-02-16,100,0.027396598331480653,0.04,0.02,6e-05,0.027336598331480652
仅规模,2016-02-23,100,-0.04926908952712322,0.04,0.02,6e-05,-0.04932908952712322
仅规模,2016-03-01,100,0.06872518514545323,0.06,0.03,8.999999999999999e-05,0.06863518514545322
仅规模,2016-03-08,100,-0.020653222397733245,0.06,0.03,8.999999999999999e-05,-0.020743222397733244
仅规模,2016-03-15,100,0.044642595718139624,0.06,0.03,8.999999999999999e-05,0.044552595718139625
仅规模,2016-03-22,100,-0.034541322571233095,0.02,0.01,3e-05,-0.0345713225712331
仅规模,2016-03-29,100,0.04846004605854556,0.06,0.03,8.999999999999999e-05,0.04837004605854556
仅规模,2016-04-06,100,0.0017387108802710593,0.08,0.04,0.00012,0.0016187108802710592
仅规模,2016-04-13,100,-0.0413859077875125,0.06,0.03,8.999999999999999e-05,-0.0414759077875125
仅规模,2016-04-20,100,-0.007881999840248805,0.06,0.03,8.999999999999999e-05,-0.007971999840248805
仅规模,2016-04-27,100,0.01948627175069937,0.18,0.09,0.00027,0.01921627175069937
仅规模,2016-05-05,100,-0.04383652405069133,0.18,0.09,0.00027,-0.04410652405069133
仅规模,2016-05-12,100,-0.01740457292097566,0.04,0.02,6e-05,-0.01746457292097566
仅规模,2016-05-19,100,0.0005700517576156283,0.06,0.03,8.999999999999999e-05,0.00048005175761562833
仅规模,2016-05-26,100,0.03395066863559922,0.08,0.04,0.00012,0.03383066863559922
仅规模,2016-06-02,100,-0.035095785584879316,0.06,0.03,8.999999999999999e-05,-0.035185785584879316
仅规模,2016-06-13,100,0.019018999105198626,0.1,0.05,0.00015000000000000001,0.018868999105198625
仅规模,2016-06-20,100,-0.0017561796656861207,0.08,0.04,0.00012,-0.0018761796656861208
仅规模,2016-06-27,100,0.03660329738847971,0.06,0.03,8.999999999999999e-05,0.03651329738847971
仅规模,2016-07-04,100,0.012531482520497097,0.06,0.03,8.999999999999999e-05,0.012441482520497097
仅规模,2016-07-11,100,0.02230305792014244,0.06,0.03,8.999999999999999e-05,0.02221305792014244
仅规模,2016-07-18,100,-0.013840496973757811,0.06,0.03,8.999999999999999e-05,-0.013930496973757811
