signalMonth,previousSignalMonth,action,indexCode,industryName,previousRank,currentRank,previousEqualWeight,currentEqualWeight,previousMarketCapWeight,currentMarketCapWeight
2025-11-01,2025-10-01,REWEIGHT,801050,有色金属,3,4,0.2,0.2,0.3089645662058444,0.24514996603019445
2025-11-01,2025-10-01,REWEIGHT,801720,建筑装饰,5,5,0.2,0.2,0.127616281658121,0.10225613941478652
2025-12-01,2025-11-01,ADD,801040,钢铁,,2,0,0.2,0,0.028744070797812375
2025-12-01,2025-11-01,ADD,801790,非银金融,,4,0,0.2,0,0.22601652123487878
2025-12-01,2025-11-01,ADD,801780,银行,,5,0,0.2,0,0.4365905168395379
2025-12-01,2025-11-01,REWEIGHT,801960,石油石化,3,1,0.2,0.2,0.2419170966290506,0.13783221289646042
2025-12-01,2025-11-01,REWEIGHT,801770,通信,1,3,0.2,0.2,0.3100489664621967,0.17081667823131047
2026-01-01,2025-12-01,ADD,801710,建筑材料,,3,0,0.2,0,0.06551781097440668
2026-01-01,2025-12-01,ADD,801720,建筑装饰,,4,0,0.2,0,0.12965804624448124
2026-01-01,2025-12-01,REWEIGHT,801960,石油石化,1,1,0.2,0.2,0.13783221289646042,0.34527323315232233
2026-01-01,2025-12-01,REWEIGHT,801770,通信,3,2,0.2,0.2,0.17081667823131047,0.3928583555562516
2026-01-01,2025-12-01,REWEIGHT,801040,钢铁,2,5,0.2,0.2,0.028744070797812375,0.06669255407253807
2026-02-01,2026-01-01,ADD,801950,煤炭,,5,0,0.2,0,0.12087875125356394
2026-02-01,2026-01-01,REWEIGHT,801960,石油石化,1,1,0.2,0.2,0.34527323315232233,0.3205725500258895
